Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
2024-01-03,Meegoda,Pineapple,61.2,3.1
2024-01-03,Narahenpita,TJC mango,143.1,7.8
2024-01-03,Narahenpita,Banana,73.47,23.3
2024-01-03,Narahenpita,Pineapple,77.92,5.3
2024-01-03,Embilipitiya,TJC mango,126.95,9.2
2024-01-03,Embilipitiya,Banana,64.37,9.3
2024-01-03,Embilipitiya,Pineapple,74.91,4.6
2024-01-04,Dambulla,TJC mango,144.85,8.3
2024-01-04,Dambulla,Banana,55.81,21.0
2024-01-04,Dambulla,Pineapple,75.81,5.0
2024-01-04,Pettah,TJC mango,,
2024-01-04,Pettah,Banana,58.24,27.4
2024-01-04,Pettah,Pineapple,101.69,4.9
2024-01-04,Meegoda,TJC mango,104.36,8.2
2024-01-04,Meegoda,Banana,74.58,13.8
2024-01-04,Meegoda,Pineapple,85.6,4.7
2024-01-04,Narahenpita,TJC mango,141.77,6.4
2024-01-04,Narahenpita,Banana,60.7,12.8
2024-01-04,Narahenpita,Pineapple,85.1,3.7
2024-01-04,Embilipitiya,TJC mango,118.53,8.0
2024-01-04,Embilipitiya,Banana,55.87,22.3
2024-01-04,Embilipitiya,Pineapple,,
2024-01-05,Dambulla,TJC mango,135.58,8.9
2024-01-05,Dambulla,Banana,45.95,17.0
2024-01-05,Dambulla,Pineapple,87.01,2.3
2024-01-05,Pettah,TJC mango,107.1,5.7
2024-01-05,Pettah,Banana,51.08,9.4
2024-01-05,Pettah,Pineapple,77.93,5.6
2024-01-05,Meegoda,TJC mango,111.95,12.0
2024-01-05,Meegoda,Banana,53.11,13.5
2024-01-05,Meegoda,Pineapple,72.55,3.3
2024-01-05,Narahenpita,TJC mango,94.4,8.8
2024-01-05,Narahenpita,Banana,60.04,16.9
2024-01-05,Narahenpita,Pineapple,81.33,5.5
2024-01-05,Embilipitiya,TJC mango,110.9,10.0
2024-01-05,Embilipitiya,Banana,70.07,12.5
2024-01-05,Embilipitiya,Pineapple,71.91,2.7
2024-01-06,Dambulla,TJC mango,145.88,9.9
2024-01-06,Dambulla,Banana,63.18,18.8
2024-01-06,Dambulla,Pineapple,89.88,3.3
2024-01-06,Pettah,TJC mango,118.97,9.5
2024-01-06,Pettah,Banana,61.03,17.6
2024-01-06,Pettah,Pineapple,,
2024-01-06,Meegoda,TJC mango,119.76,8.4
2024-01-06,Meegoda,Banana,61.35,20.5
2024-01-06,Meegoda,Pineapple,67.9,2.8
2024-01-06,Narahenpita,TJC mango,138.67,8.7
2024-01-06,Narahenpita,Banana,55.85,23.7
2024-01-06,Narahenpita,Pineapple,85.58,5.3
2024-01-06,Embilipitiya,TJC mango,138.45,9.0
2024-01-06,Embilipitiya,Banana,54.29,14.4
2024-01-06,Embilipitiya,Pineapple,87.08,4.0
2024-01-07,Dambulla,TJC mango,126.99,9.6
2024-01-07,Dambulla,Banana,57.8,11.7
2024-01-07,Dambulla,Pineapple,96.3,6.6
2024-01-07,Pettah,TJC mango,108.4,10.4
2024-01-07,Pettah,Banana,72.56,20.8
2024-01-07,Pettah,Pineapple,73.68,6.4
2024-01-07,Meegoda,TJC mango,143.17,8.2
2024-01-07,Meegoda,Banana,62.27,16.9
2024-01-07,Meegoda,Pineapple,85.29,4.9
2024-01-07,Narahenpita,TJC mango,131.14,11.3
2024-01-07,Narahenpita,Banana,74.99,18.5
2024-01-07,Narahenpita,Pineapple,80.29,3.1
2024-01-07,Embilipitiya,TJC mango,127.91,7.1
2024-01-07,Embilipitiya,Banana,64.63,12.6
2024-01-07,Embilipitiya,Pineapple,77.18,2.6
2024-01-08,Dambulla,TJC mango,116.41,10.2
2024-01-08,Dambulla,Banana,54.74,24.7
2024-01-08,Dambulla,Pineapple,94.83,5.7
2024-01-08,Pettah,TJC mango,131.38,5.9
2024-01-08,Pettah,Banana,67.33,11.5
2024-01-08,Pettah,Pineapple,64.4,3.2
2024-01-08,Meegoda,TJC mango,109.75,7.8
2024-01-08,Meegoda,Banana,,
2024-01-08,Meegoda,Pineapple,76.59,2.1
2024-01-08,Narahenpita,TJC mango,154.06,7.8
2024-01-08,Narahenpita,Banana,59.39,15.2
2024-01-08,Narahenpita,Pineapple,97.27,4.1
2024-01-08,Embilipitiya,TJC mango,127.19,8.9
2024-01-08,Embilipitiya,Banana,71.99,20.7
2024-01-08,Embilipitiya,Pineapple,87.88,3.6
2024-01-09,Dambulla,TJC mango,149.52,8.0
2024-01-09,Dambulla,Banana,60.38,22.3
2024-01-09,Dambulla,Pineapple,94.43,4.6
2024-01-09,Pettah,TJC mango,104.83,6.2
2024-01-09,Pettah,Banana,,
2024-01-09,Pettah,Pineapple,87.3,2.2
2024-01-09,Meegoda,TJC mango,162.03,11.9
2024-01-09,Meegoda,Banana,60.05,-0.2
2024-01-09,Meegoda,Pineapple,84.95,3.4
2024-01-09,Narahenpita,TJC mango,113.81,6.1
2024-01-09,Narahenpita,Banana,67.89,22.5
2024-01-09,Narahenpita,Pineapple,70.03,4.2
2024-01-09,Embilipitiya,TJC mango,139.42,9.2
2024-01-09,Embilipitiya,Banana,66.7,17.6
2024-01-09,Embilipitiya,Pineapple,65.65,3.3
2024-01-10,Dambulla,TJC mango,129.65,6.5
2024-01-10,Dambulla,Banana,67.97,22.6
2024-01-10,Dambulla,Pineapple,77.75,3.3
2024-01-10,Pettah,TJC mango,141.84,7.0
2024-01-10,Pettah,Banana,63.6,15.8
2024-01-10,Pettah,Pineapple,69.66,3.8
2024-01-10,Meegoda,TJC mango,136.57,5.9
2024-01-10,Meegoda,Banana,62.89,6.8
2024-01-10,Meegoda,Pineapple,68.75,5.6
2024-01-10,Narahenpita,TJC mango,107.35,8.2
2024-01-10,Narahenpita,Banana,54.1,18.4
2024-01-10,Narahenpita,Pineapple,55.24,3.7
2024-01-10,Embilipitiya,TJC mango,119.5,5.1
2024-01-10,Embilipitiya,Banana,70.51,14.1
2024-01-10,Embilipitiya,Pineapple,95.63,3.5
2024-01-11,Dambulla,TJC mango,109.32,7.0
2024-01-11,Dambulla,Banana,53.36,21.9
2024-01-11,Dambulla,Pineapple,83.94,4.7
2024-01-11,Pettah,TJC mango,131.9,6.0
2024-01-11,Pettah,Banana,75.37,17.2
2024-01-11,Pettah,Pineapple,63.91,3.2
2024-01-11,Meegoda,TJC mango,110.47,9.4
2024-01-11,Meegoda,Banana,59.9,25.2
2024-01-11,Meegoda,Pineapple,90.33,4.3
2024-01-11,Narahenpita,TJC mango,120.35,9.9
2024-01-11,Narahenpita,Banana,53.94,28.1
2024-01-11,Narahenpita,Pineapple,79.98,3.2
2024-01-11,Embilipitiya,TJC mango,104.3,8.7
2024-01-11,Embilipitiya,Banana,70.78,18.8
2024-01-11,Embilipitiya,Pineapple,76.47,5.4
2024-01-12,Dambulla,TJC mango,120.09,3.8
2024-01-12,Dambulla,Banana,48.26,21.4
2024-01-12,Dambulla,Pineapple,93.67,2.4
2024-01-12,Pettah,TJC mango,138.79,9.4
2024-01-12,Pettah,Banana,65.74,21.4
2024-01-12,Pettah,Pineapple,89.09,2.8
2024-01-12,Meegoda,TJC mango,119.36,7.2
2024-01-12,Meegoda,Banana,64.08,21.7
2024-01-12,Meegoda,Pineapple,95.76,3.7
2024-01-12,Narahenpita,TJC mango,89.84,9.0
2024-01-12,Narahenpita,Banana,67.8,21.0
2024-01-12,Narahenpita,Pineapple,85.69,3.8
2024-01-12,Embilipitiya,TJC mango,145.51,12.4
2024-01-12,Embilipitiya,Banana,57.04,20.3
2024-01-12,Embilipitiya,Pineapple,88.14,4.4
2024-01-13,Dambulla,TJC mango,130.09,5.1
2024-01-13,Dambulla,Banana,61.62,15.7
2024-01-13,Dambulla,Pineapple,85.16,3.5
2024-01-13,Pettah,TJC mango,86.37,7.5
2024-01-13,Pettah,Banana,77.45,21.9
2024-01-13,Pettah,Pineapple,82.49,3.6
2024-01-13,Meegoda,TJC mango,114.39,6.3
2024-01-13,Meegoda,Banana,59.9,19.5
2024-01-13,Meegoda,Pineapple,60.31,5.0
2024-01-13,Narahenpita,TJC mango,129.49,9.5
2024-01-13,Narahenpita,Banana,64.81,23.1
2024-01-13,Narahenpita,Pineapple,89.38,3.8
2024-01-13,Embilipitiya,TJC mango,119.68,8.1
2024-01-13,Embilipitiya,Banana,60.41,19.7
2024-01-13,Embilipitiya,Pineapple,79.95,2.5
2024-01-14,Dambulla,TJC mango,125.48,10.3
2024-01-14,Dambulla,Banana,48.69,17.8
2024-01-14,Dambulla,Pineapple,86.53,4.5
2024-01-14,Pettah,TJC mango,102.35,6.3
2024-01-14,Pettah,Banana,57.57,17.0
2024-01-14,Pettah,Pineapple,100.76,3.9
2024-01-14,Meegoda,TJC mango,130.88,10.9
2024-01-14,Meegoda,Banana,61.93,11.2
2024-01-14,Meegoda,Pineapple,98.17,3.7
2024-01-14,Narahenpita,TJC mango,136.01,9.2
2024-01-14,Narahenpita,Banana,59.41,10.0
2024-01-14,Narahenpita,Pineapple,68.42,5.2
2024-01-14,Embilipitiya,TJC mango,113.07,14.6
2024-01-14,Embilipitiya,Banana,48.76,17.4
2024-01-14,Embilipitiya,Pineapple,70.69,3.8
2024-01-15,Dambulla,TJC mango,133.96,7.8
2024-01-15,Dambulla,Banana,58.65,19.5
2024-01-15,Dambulla,Pineapple,80.62,4.4
2024-01-15,Pettah,TJC mango,124.02,10.8
2024-01-15,Pettah,Banana,44.75,16.9
2024-01-15,Pettah,Pineapple,73.84,3.0
2024-01-15,Meegoda,TJC mango,110.78,5.8
2024-01-15,Meegoda,Banana,49.15,18.1
2024-01-15,Meegoda,Pineapple,87.37,4.0
2024-01-15,Narahenpita,TJC mango,121.01,8.2
2024-01-15,Narahenpita,Banana,66.48,28.3
2024-01-15,Narahenpita,Pineapple,86.21,4.7
2024-01-15,Embilipitiya,TJC mango,116.91,11.7
2024-01-15,Embilipitiya,Banana,72.17,14.7
2024-01-15,Embilipitiya,Pineapple,95.89,4.6
2024-01-16,Dambulla,TJC mango,106.53,9.1
2024-01-16,Dambulla,Banana,61.37,14.6
2024-01-16,Dambulla,Pineapple,89.54,4.0
2024-01-16,Pettah,TJC mango,126.92,6.8
2024-01-16,Pettah,Banana,55.39,14.5
2024-01-16,Pettah,Pineapple,58.45,3.8
2024-01-16,Meegoda,TJC mango,124.72,9.3
2024-01-16,Meegoda,Banana,53.99,26.6
2024-01-16,Meegoda,Pineapple,59.22,2.2
2024-01-16,Narahenpita,TJC mango,119.45,6.0
2024-01-16,Narahenpita,Banana,56.44,18.1
2024-01-16,Narahenpita,Pineapple,,
2024-01-16,Embilipitiya,TJC mango,138.19,8.3
2024-01-16,Embilipitiya,Banana,64.63,18.3
2024-01-16,Embilipitiya,Pineapple,80.85,3.6
2024-01-17,Dambulla,TJC mango,100.94,10.8
2024-01-17,Dambulla,Banana,52.46,20.4
2024-01-17,Dambulla,Pineapple,75.61,4.4
2024-01-17,Pettah,TJC mango,115.0,7.5
2024-01-17,Pettah,Banana,49.15,20.9
2024-01-17,Pettah,Pineapple,77.18,4.5
2024-01-17,Meegoda,TJC mango,115.16,7.8
2024-01-17,Meegoda,Banana,48.75,17.0
2024-01-17,Meegoda,Pineapple,84.52,3.7
2024-01-17,Narahenpita,TJC mango,139.08,6.5
2024-01-17,Narahenpita,Banana,50.89,22.1
2024-01-17,Narahenpita,Pineapple,83.82,5.3
2024-01-17,Embilipitiya,TJC mango,,
2024-01-17,Embilipitiya,Banana,59.72,18.7
2024-01-17,Embilipitiya,Pineapple,97.28,5.8
2024-01-18,Dambulla,TJC mango,128.86,8.1
2024-01-18,Dambulla,Banana,54.64,14.6
2024-01-18,Dambulla,Pineapple,82.74,2.7
2024-01-18,Pettah,TJC mango,104.93,7.9
2024-01-18,Pettah,Banana,51.36,23.9
2024-01-18,Pettah,Pineapple,70.15,5.2
2024-01-18,Meegoda,TJC mango,117.46,6.5
2024-01-18,Meegoda,Banana,60.09,20.9
2024-01-18,Meegoda,Pineapple,79.76,3.8
2024-01-18,Narahenpita,TJC mango,82.66,12.1
2024-01-18,Narahenpita,Banana,61.31,23.7
2024-01-18,Narahenpita,Pineapple,82.93,3.7
2024-01-18,Embilipitiya,TJC mango,95.94,10.4
2024-01-18,Embilipitiya,Banana,,
2024-01-18,Embilipitiya,Pineapple,75.14,3.7
2024-01-19,Dambulla,TJC mango,113.31,7.6
2024-01-19,Dambulla,Banana,86.73,12.4
2024-01-19,Dambulla,Pineapple,75.6,4.9
2024-01-19,Pettah,TJC mango,136.59,9.0
2024-01-19,Pettah,Banana,59.66,7.5
2024-01-19,Pettah,Pineapple,90.7,2.8
2024-01-19,Meegoda,TJC mango,141.27,7.5
2024-01-19,Meegoda,Banana,51.46,14.9
2024-01-19,Meegoda,Pineapple,75.18,3.1
2024-01-19,Narahenpita,TJC mango,102.09,6.8
2024-01-19,Narahenpita,Banana,58.35,18.9
2024-01-19,Narahenpita,Pineapple,75.67,4.3
2024-01-19,Embilipitiya,TJC mango,135.55,8.4
2024-01-19,Embilipitiya,Banana,55.95,13.7
2024-01-19,Embilipitiya,Pineapple,86.52,4.1
2024-01-20,Dambulla,TJC mango,136.42,9.2
2024-01-20,Dambulla,Banana,55.75,21.8
2024-01-20,Dambulla,Pineapple,67.7,2.5
2024-01-20,Pettah,TJC mango,92.71,10.2
2024-01-20,Pettah,Banana,74.4,6.8
2024-01-20,Pettah,Pineapple,72.39,5.6
2024-01-20,Meegoda,TJC mango,130.73,8.9
2024-01-20,Meegoda,Banana,56.02,17.6
2024-01-20,Meegoda,Pineapple,67.02,5.3
2024-01-20,Narahenpita,TJC mango,143.27,6.7
2024-01-20,Narahenpita,Banana,56.34,11.8
2024-01-20,Narahenpita,Pineapple,94.86,4.6
2024-01-20,Embilipitiya,TJC mango,144.65,11.8
2024-01-20,Embilipitiya,Banana,53.59,17.2
2024-01-20,Embilipitiya,Pineapple,71.51,4.0
2024-01-21,Dambulla,TJC mango,148.54,6.3
2024-01-21,Dambulla,Banana,50.83,22.7
2024-01-21,Dambulla,Pineapple,73.36,2.8
2024-01-21,Pettah,TJC mango,133.37,7.4
2024-01-21,Pettah,Banana,54.64,14.5
2024-01-21,Pettah,Pineapple,81.18,4.8
2024-01-21,Meegoda,TJC mango,104.81,5.4
2024-01-21,Meegoda,Banana,60.03,19.0
2024-01-21,Meegoda,Pineapple,,
2024-01-21,Narahenpita,TJC mango,136.66,7.4
2024-01-21,Narahenpita,Banana,51.29,18.3
2024-01-21,Narahenpita,Pineapple,91.77,3.4
2024-01-21,Embilipitiya,TJC mango,110.24,7.7
2024-01-21,Embilipitiya,Banana,71.68,11.3
2024-01-21,Embilipitiya,Pineapple,83.1,4.2
2024-01-22,Dambulla,TJC mango,132.08,4.1
2024-01-22,Dambulla,Banana,52.86,20.2
2024-01-22,Dambulla,Pineapple,82.78,3.4
2024-01-22,Pettah,TJC mango,93.68,10.4
2024-01-22,Pettah,Banana,,
2024-01-22,Pettah,Pineapple,73.07,4.3
2024-01-22,Meegoda,TJC mango,117.2,6.0
2024-01-22,Meegoda,Banana,58.86,22.7
2024-01-22,Meegoda,Pineapple,76.85,4.8
2024-01-22,Narahenpita,TJC mango,111.51,9.1
2024-01-22,Narahenpita,Banana,64.31,16.3
2024-01-22,Narahenpita,Pineapple,69.18,3.6
2024-01-22,Embilipitiya,TJC mango,112.08,9.5
2024-01-22,Embilipitiya,Banana,52.2,20.4
2024-01-22,Embilipitiya,Pineapple,75.3,2.8
2024-01-23,Dambulla,TJC mango,115.92,4.7
2024-01-23,Dambulla,Banana,64.02,24.1
2024-01-23,Dambulla,Pineapple,86.99,4.1
2024-01-23,Pettah,TJC mango,105.72,6.4
2024-01-23,Pettah,Banana,47.14,17.6
2024-01-23,Pettah,Pineapple,80.95,5.3
2024-01-23,Meegoda,TJC mango,130.4,6.8
2024-01-23,Meegoda,Banana,60.37,25.2
2024-01-23,Meegoda,Pineapple,75.42,3.7
2024-01-23,Narahenpita,TJC mango,119.05,9.0
2024-01-23,Narahenpita,Banana,65.5,9.0
2024-01-23,Narahenpita,Pineapple,82.07,2.9
2024-01-23,Embilipitiya,TJC mango,137.81,6.3
2024-01-23,Embilipitiya,Banana,63.67,22.7
2024-01-23,Embilipitiya,Pineapple,94.68,3.9
2024-01-24,Dambulla,TJC mango,134.78,12.7
2024-01-24,Dambulla,Banana,53.54,18.9
2024-01-24,Dambulla,Pineapple,61.16,2.1
2024-01-24,Pettah,TJC mango,128.9,6.9
2024-01-24,Pettah,Banana,57.4,16.8
2024-01-24,Pettah,Pineapple,,
2024-01-24,Meegoda,TJC mango,138.95,5.4
2024-01-24,Meegoda,Banana,67.4,11.1
2024-01-24,Meegoda,Pineapple,62.02,3.6
2024-01-24,Narahenpita,TJC mango,132.73,7.2
2024-01-24,Narahenpita,Banana,56.43,16.6
2024-01-24,Narahenpita,Pineapple,90.35,5.0
2024-01-24,Embilipitiya,TJC mango,97.04,8.3
2024-01-24,Embilipitiya,Banana,75.08,27.4
2024-01-24,Embilipitiya,Pineapple,70.1,5.9
2024-01-25,Dambulla,TJC mango,133.52,5.8
2024-01-25,Dambulla,Banana,65.74,11.6
2024-01-25,Dambulla,Pineapple,88.12,2.1
2024-01-25,Pettah,TJC mango,89.75,9.0
2024-01-25,Pettah,Banana,70.91,25.7
2024-01-25,Pettah,Pineapple,79.71,3.9
2024-01-25,Meegoda,TJC mango,111.91,8.0
2024-01-25,Meegoda,Banana,56.8,23.2
2024-01-25,Meegoda,Pineapple,80.71,4.5
2024-01-25,Narahenpita,TJC mango,143.67,12.9
2024-01-25,Narahenpita,Banana,69.96,23.6
2024-01-25,Narahenpita,Pineapple,75.69,3.5
2024-01-25,Embilipitiya,TJC mango,132.68,8.5
2024-01-25,Embilipitiya,Banana,58.41,23.0
2024-01-25,Embilipitiya,Pineapple,70.63,4.8
2024-01-26,Dambulla,TJC mango,125.7,10.6
2024-01-26,Dambulla,Banana,49.88,21.5
2024-01-26,Dambulla,Pineapple,87.97,4.3
2024-01-26,Pettah,TJC mango,128.96,6.1
2024-01-26,Pettah,Banana,40.82,14.2
2024-01-26,Pettah,Pineapple,69.2,3.8
2024-01-26,Meegoda,TJC mango,121.57,7.7
2024-01-26,Meegoda,Banana,,
2024-01-26,Meegoda,Pineapple,85.13,4.1
2024-01-26,Narahenpita,TJC mango,118.39,8.8
2024-01-26,Narahenpita,Banana,55.36,19.8
2024-01-26,Narahenpita,Pineapple,102.56,4.3
2024-01-26,Embilipitiya,TJC mango,107.46,10.0
2024-01-26,Embilipitiya,Banana,69.36,21.9
2024-01-26,Embilipitiya,Pineapple,87.02,4.5
2024-01-27,Dambulla,TJC mango,117.53,13.1
2024-01-27,Dambulla,Banana,66.27,13.5
2024-01-27,Dambulla,Pineapple,70.57,4.3
2024-01-27,Pettah,TJC mango,114.76,7.3
2024-01-27,Pettah,Banana,59.95,17.6
2024-01-27,Pettah,Pineapple,90.55,3.1
2024-01-27,Meegoda,TJC mango,110.55,8.7
2024-01-27,Meegoda,Banana,63.2,22.3
2024-01-27,Meegoda,Pineapple,69.01,2.8
2024-01-27,Narahenpita,TJC mango,97.96,4.8
2024-01-27,Narahenpita,Banana,52.1,27.4
2024-01-27,Narahenpita,Pineapple,82.74,3.6
2024-01-27,Embilipitiya,TJC mango,139.23,6.1
2024-01-27,Embilipitiya,Banana,71.47,20.2
2024-01-27,Embilipitiya,Pineapple,93.29,2.6
2024-01-28,Dambulla,TJC mango,133.83,8.5
2024-01-28,Dambulla,Banana,60.19,19.2
2024-01-28,Dambulla,Pineapple,64.45,5.0
2024-01-28,Pettah,TJC mango,113.63,8.2
2024-01-28,Pettah,Banana,,
2024-01-28,Pettah,Pineapple,69.77,4.1
2024-01-28,Meegoda,TJC mango,87.2,10.1
2024-01-28,Meegoda,Banana,46.08,19.3
2024-01-28,Meegoda,Pineapple,86.74,5.3
2024-01-28,Narahenpita,TJC mango,103.2,8.7
2024-01-28,Narahenpita,Banana,60.12,16.3
2024-01-28,Narahenpita,Pineapple,96.01,3.4
2024-01-28,Embilipitiya,TJC mango,129.67,11.3
2024-01-28,Embilipitiya,Banana,52.44,20.3
2024-01-28,Embilipitiya,Pineapple,71.92,2.8
2024-01-29,Dambulla,TJC mango,115.74,8.0
2024-01-29,Dambulla,Banana,69.46,19.9
2024-01-29,Dambulla,Pineapple,65.08,2.7
2024-01-29,Pettah,TJC mango,127.54,5.7
2024-01-29,Pettah,Banana,67.72,20.1
2024-01-29,Pettah,Pineapple,71.99,4.1
2024-01-29,Meegoda,TJC mango,111.09,6.9
2024-01-29,Meegoda,Banana,69.34,8.9
2024-01-29,Meegoda,Pineapple,76.53,4.5
2024-01-29,Narahenpita,TJC mango,134.68,9.4
2024-01-29,Narahenpita,Banana,61.42,15.2
2024-01-29,Narahenpita,Pineapple,59.42,2.3
2024-01-29,Embilipitiya,TJC mango,115.75,5.9
2024-01-29,Embilipitiya,Banana,76.82,15.0
2024-01-29,Embilipitiya,Pineapple,98.46,3.8
2024-01-30,Dambulla,TJC mango,122.59,8.6
2024-01-30,Dambulla,Banana,54.23,19.3
2024-01-30,Dambulla,Pineapple,79.68,3.5
2024-01-30,Pettah,TJC mango,125.68,10.3
2024-01-30,Pettah,Banana,44.48,17.7
2024-01-30,Pettah,Pineapple,95.32,4.5
2024-01-30,Meegoda,TJC mango,136.41,7.7
2024-01-30,Meegoda,Banana,,
2024-01-30,Meegoda,Pineapple,74.12,3.3
2024-01-30,Narahenpita,TJC mango,116.68,7.5
2024-01-30,Narahenpita,Banana,56.24,28.0
2024-01-30,Narahenpita,Pineapple,66.32,3.6
2024-01-30,Embilipitiya,TJC mango,118.39,7.9
2024-01-30,Embilipitiya,Banana,52.32,12.5
2024-01-30,Embilipitiya,Pineapple,88.98,3.2
2024-01-31,Dambulla,TJC mango,136.62,10.6
2024-01-31,Dambulla,Banana,62.37,11.6
2024-01-31,Dambulla,Pineapple,83.11,5.7
2024-01-31,Pettah,TJC mango,126.85,8.7
2024-01-31,Pettah,Banana,58.29,9.6
2024-01-31,Pettah,Pineapple,,
2024-01-31,Meegoda,TJC mango,103.24,4.5
2024-01-31,Meegoda,Banana,64.4,18.2
2024-01-31,Meegoda,Pineapple,84.33,4.1
2024-01-31,Narahenpita,TJC mango,87.91,11.7
2024-01-31,Narahenpita,Banana,58.6,18.9
2024-01-31,Narahenpita,Pineapple,71.04,3.2
2024-01-31,Embilipitiya,TJC mango,136.73,7.5
2024-01-31,Embilipitiya,Banana,55.93,23.5
2024-01-31,Embilipitiya,Pineapple,79.94,3.8
2024-02-01,Dambulla,TJC mango,147.95,9.1
2024-02-01,Dambulla,Banana,54.02,14.7
2024-02-01,Dambulla,Pineapple,57.65,3.7
2024-02-01,Pettah,TJC mango,133.39,6.9
2024-02-01,Pettah,Banana,73.3,17.4
2024-02-01,Pettah,Pineapple,72.64,3.6
2024-02-01,Meegoda,TJC mango,96.8,4.7
2024-02-01,Meegoda,Banana,61.58,24.2
2024-02-01,Meegoda,Pineapple,85.71,4.7
2024-02-01,Narahenpita,TJC mango,91.7,9.7
2024-02-01,Narahenpita,Banana,52.14,16.5
2024-02-01,Narahenpita,Pineapple,85.99,4.8
2024-02-01,Embilipitiya,TJC mango,94.8,10.3
2024-02-01,Embilipitiya,Banana,71.74,14.9
2024-02-01,Embilipitiya,Pineapple,79.44,3.1
2024-02-02,Dambulla,TJC mango,108.53,7.2
2024-02-02,Dambulla,Banana,57.06,22.0
2024-02-02,Dambulla,Pineapple,82.25,4.5
2024-02-02,Pettah,TJC mango,136.96,6.4
2024-02-02,Pettah,Banana,53.61,12.1
2024-02-02,Pettah,Pineapple,66.08,4.4
2024-02-02,Meegoda,TJC mango,112.22,6.9
2024-02-02,Meegoda,Banana,55.77,16.0
2024-02-02,Meegoda,Pineapple,67.75,5.6
2024-02-02,Narahenpita,TJC mango,127.27,8.9
2024-02-02,Narahenpita,Banana,48.93,14.1
2024-02-02,Narahenpita,Pineapple,60.87,5.5
2024-02-02,Embilipitiya,TJC mango,113.39,11.2
2024-02-02,Embilipitiya,Banana,66.69,14.4
2024-02-02,Embilipitiya,Pineapple,82.43,4.8
2024-02-03,Dambulla,TJC mango,123.08,7.0
2024-02-03,Dambulla,Banana,52.46,12.6
2024-02-03,Dambulla,Pineapple,69.08,3.6
2024-02-03,Pettah,TJC mango,122.81,9.5
2024-02-03,Pettah,Banana,57.62,19.1
2024-02-03,Pettah,Pineapple,81.72,3.5
2024-02-03,Meegoda,TJC mango,114.64,9.4
2024-02-03,Meegoda,Banana,64.22,16.1
2024-02-03,Meegoda,Pineapple,65.39,3.6
2024-02-03,Narahenpita,TJC mango,117.46,4.9
2024-02-03,Narahenpita,Banana,77.86,16.2
2024-02-03,Narahenpita,Pineapple,82.76,4.8
2024-02-03,Embilipitiya,TJC mango,113.73,7.4
2024-02-03,Embilipitiya,Banana,41.5,17.3
2024-02-03,Embilipitiya,Pineapple,62.24,3.8
2024-02-04,Dambulla,TJC mango,119.03,12.2
2024-02-04,Dambulla,Banana,65.3,22.9
2024-02-04,Dambulla,Pineapple,63.93,4.2
2024-02-04,Pettah,TJC mango,124.84,8.0
2024-02-04,Pettah,Banana,51.41,17.8
2024-02-04,Pettah,Pineapple,87.28,3.1
2024-02-04,Meegoda,TJC mango,146.23,10.0
2024-02-04,Meegoda,Banana,52.25,17.2
2024-02-04,Meegoda,Pineapple,73.96,5.2
2024-02-04,Narahenpita,TJC mango,102.09,6.5
2024-02-04,Narahenpita,Banana,62.09,15.0
2024-02-04,Narahenpita,Pineapple,73.11,3.5
2024-02-04,Embilipitiya,TJC mango,123.16,7.7
2024-02-04,Embilipitiya,Banana,51.95,22.5
