Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
1/15/2022,Meegoda,TJC mango,100.33,9.5
1/15/2022,Meegoda,Banana,71.67,16.5
1/15/2022,Meegoda,Pineapple,77.45,3.8
1/15/2022,Narahenpita,TJC mango,131.35,6.7
1/15/2022,Narahenpita,Banana,63.32,13
1/15/2022,Narahenpita,Pineapple,67.17,5.2
1/15/2022,Embilipitiya,TJC mango,119.04,6.6
1/15/2022,Embilipitiya,Banana,59.09,21.7
1/15/2022,Embilipitiya,Pineapple,86.17,2.3
1/16/2022,Dambulla,TJC mango,121.25,5.3
1/16/2022,Dambulla,Banana,49.58,8.2
1/16/2022,Dambulla,Pineapple,109.56,4.2
1/16/2022,Pettah,TJC mango,125.4,9.9
1/16/2022,Pettah,Banana,64.8,24.8
1/16/2022,Pettah,Pineapple,61.67,3.3
1/16/2022,Meegoda,TJC mango,121.13,13.4
1/16/2022,Meegoda,Banana,46.9,12
1/16/2022,Meegoda,Pineapple,92.53,6.4
1/16/2022,Narahenpita,TJC mango,140.42,10.2
1/16/2022,Narahenpita,Banana,50.2,17.7
1/16/2022,Narahenpita,Pineapple,86.8,3.9
1/16/2022,Embilipitiya,TJC mango,108.36,4.4
1/16/2022,Embilipitiya,Banana,50.47,20.5
1/16/2022,Embilipitiya,Pineapple,78.29,3.5
1/17/2022,Dambulla,TJC mango,114.56,8.1
1/17/2022,Dambulla,Banana,52.59,13.3
1/17/2022,Dambulla,Pineapple,93.5,4.6
1/17/2022,Pettah,TJC mango,124,7.1
1/17/2022,Pettah,Banana,58.19,10.1
1/17/2022,Pettah,Pineapple,90.06,3.9
1/17/2022,Meegoda,TJC mango,138.62,7.7
1/17/2022,Meegoda,Banana,50.83,6.9
1/17/2022,Meegoda,Pineapple,92.64,3.5
1/17/2022,Narahenpita,TJC mango,131.9,6.7
1/17/2022,Narahenpita,Banana,50.91,19.9
1/17/2022,Narahenpita,Pineapple,77.3,3
1/17/2022,Embilipitiya,TJC mango,110.67,10.6
1/17/2022,Embilipitiya,Banana,57.53,21
1/17/2022,Embilipitiya,Pineapple,84.34,5.5
1/18/2022,Dambulla,TJC mango,118.79,5.7
1/18/2022,Dambulla,Banana,62.27,18.4
1/18/2022,Dambulla,Pineapple,92.01,4.5
1/18/2022,Pettah,TJC mango,117.5,5
1/18/2022,Pettah,Banana,66.86,19
1/18/2022,Pettah,Pineapple,83.01,4.7
1/18/2022,Meegoda,TJC mango,119.36,6.4
1/18/2022,Meegoda,Banana,50.33,11.1
1/18/2022,Meegoda,Pineapple,95.39,2.9
1/18/2022,Narahenpita,TJC mango,136.79,6.2
1/18/2022,Narahenpita,Banana,,
1/18/2022,Narahenpita,Pineapple,76.52,4.2
1/18/2022,Embilipitiya,TJC mango,114.32,8.2
1/18/2022,Embilipitiya,Banana,61.33,16.9
1/18/2022,Embilipitiya,Pineapple,84.84,4.3
1/19/2022,Dambulla,TJC mango,117.12,6
1/19/2022,Dambulla,Banana,54.1,20.1
1/19/2022,Dambulla,Pineapple,76.7,3.1
1/19/2022,Pettah,TJC mango,153.66,8.1
1/19/2022,Pettah,Banana,51,16.8
1/19/2022,Pettah,Pineapple,93.9,2
1/19/2022,Meegoda,TJC mango,126.95,12.8
1/19/2022,Meegoda,Banana,55.65,20.2
1/19/2022,Meegoda,Pineapple,83.72,3.9
1/19/2022,Narahenpita,TJC mango,126.62,5.9
1/19/2022,Narahenpita,Banana,58.73,12
1/19/2022,Narahenpita,Pineapple,99.91,3.6
1/19/2022,Embilipitiya,TJC mango,102.99,5.3
1/19/2022,Embilipitiya,Banana,57.59,20.1
1/19/2022,Embilipitiya,Pineapple,78.78,4.2
1/20/2022,Dambulla,TJC mango,,
1/20/2022,Dambulla,Banana,49.12,21.9
1/20/2022,Dambulla,Pineapple,90.46,3.4
1/20/2022,Pettah,TJC mango,117.98,7.2
1/20/2022,Pettah,Banana,69.72,14.8
1/20/2022,Pettah,Pineapple,94.31,3.7
1/20/2022,Meegoda,TJC mango,127.69,7.2
1/20/2022,Meegoda,Banana,51.59,18.8
1/20/2022,Meegoda,Pineapple,86.53,4.4
1/20/2022,Narahenpita,TJC mango,126.2,8.1
1/20/2022,Narahenpita,Banana,61.04,14.1
1/20/2022,Narahenpita,Pineapple,70.83,4.4
1/20/2022,Embilipitiya,TJC mango,143.4,6.4
1/20/2022,Embilipitiya,Banana,69.57,15.9
1/20/2022,Embilipitiya,Pineapple,91.26,4.6
1/21/2022,Dambulla,TJC mango,119.53,12.8
1/21/2022,Dambulla,Banana,58.59,23.1
1/21/2022,Dambulla,Pineapple,78.97,4.5
1/21/2022,Pettah,TJC mango,127.65,7.3
1/21/2022,Pettah,Banana,58.84,22.5
1/21/2022,Pettah,Pineapple,78.58,4.6
1/21/2022,Meegoda,TJC mango,128.02,7.9
1/21/2022,Meegoda,Banana,49.62,10.3
1/21/2022,Meegoda,Pineapple,63.09,4
1/21/2022,Narahenpita,TJC mango,112.9,5.8
1/21/2022,Narahenpita,Banana,45.18,18.4
1/21/2022,Narahenpita,Pineapple,94.9,3.5
1/21/2022,Embilipitiya,TJC mango,142.51,5.8
1/21/2022,Embilipitiya,Banana,62.06,25.4
1/21/2022,Embilipitiya,Pineapple,59.64,5.7
1/22/2022,Dambulla,TJC mango,108.19,10.6
1/22/2022,Dambulla,Banana,56.97,20.9
1/22/2022,Dambulla,Pineapple,92.06,3.8
1/22/2022,Pettah,TJC mango,125.29,6.3
1/22/2022,Pettah,Banana,51.46,19.3
1/22/2022,Pettah,Pineapple,,
1/22/2022,Meegoda,TJC mango,145.98,5.9
1/22/2022,Meegoda,Banana,58.15,13.6
1/22/2022,Meegoda,Pineapple,70.54,5.9
1/22/2022,Narahenpita,TJC mango,104.55,9.4
1/22/2022,Narahenpita,Banana,62.37,13.3
1/22/2022,Narahenpita,Pineapple,76.03,5.2
1/22/2022,Embilipitiya,TJC mango,123.63,9.7
1/22/2022,Embilipitiya,Banana,67.6,10.8
1/22/2022,Embilipitiya,Pineapple,78.7,3.6
1/23/2022,Dambulla,TJC mango,114.84,11.4
1/23/2022,Dambulla,Banana,64.28,20.4
1/23/2022,Dambulla,Pineapple,75.03,5.7
1/23/2022,Pettah,TJC mango,112.16,7.9
1/23/2022,Pettah,Banana,40.11,20.8
1/23/2022,Pettah,Pineapple,90.83,4.4
1/23/2022,Meegoda,TJC mango,105.57,10.3
1/23/2022,Meegoda,Banana,61.91,27.2
1/23/2022,Meegoda,Pineapple,72.94,4.4
1/23/2022,Narahenpita,TJC mango,115.32,7.5
1/23/2022,Narahenpita,Banana,55.55,27.8
1/23/2022,Narahenpita,Pineapple,82.13,2.9
1/23/2022,Embilipitiya,TJC mango,102.52,9.2
1/23/2022,Embilipitiya,Banana,54.25,15.9
1/23/2022,Embilipitiya,Pineapple,78.89,4.8
1/24/2022,Dambulla,TJC mango,146.1,9.9
1/24/2022,Dambulla,Banana,56.31,19.3
1/24/2022,Dambulla,Pineapple,97.01,4.8
1/24/2022,Pettah,TJC mango,127.11,8.7
1/24/2022,Pettah,Banana,65.09,21.7
1/24/2022,Pettah,Pineapple,86.54,4.7
1/24/2022,Meegoda,TJC mango,119.42,9.3
1/24/2022,Meegoda,Banana,54.79,22.7
1/24/2022,Meegoda,Pineapple,71.35,4
1/24/2022,Narahenpita,TJC mango,109.13,11.1
1/24/2022,Narahenpita,Banana,61.6,24.1
1/24/2022,Narahenpita,Pineapple,84.06,2.3
1/24/2022,Embilipitiya,TJC mango,131.4,9.5
1/24/2022,Embilipitiya,Banana,53.95,16.5
1/24/2022,Embilipitiya,Pineapple,83.27,5.5
1/25/2022,Dambulla,TJC mango,136.01,10.8
1/25/2022,Dambulla,Banana,56.08,15
1/25/2022,Dambulla,Pineapple,81.84,5.5
1/25/2022,Pettah,TJC mango,117.41,7.8
1/25/2022,Pettah,Banana,82.96,19.6
1/25/2022,Pettah,Pineapple,81.9,4.9
1/25/2022,Meegoda,TJC mango,148.31,7.8
1/25/2022,Meegoda,Banana,45.27,22.7
1/25/2022,Meegoda,Pineapple,99.27,3.6
1/25/2022,Narahenpita,TJC mango,119.19,10.3
1/25/2022,Narahenpita,Banana,48.11,26
1/25/2022,Narahenpita,Pineapple,82.99,5.9
1/25/2022,Embilipitiya,TJC mango,97.24,9.2
1/25/2022,Embilipitiya,Banana,62.51,20.8
1/25/2022,Embilipitiya,Pineapple,83.54,3.7
1/26/2022,Dambulla,TJC mango,115.11,11.1
1/26/2022,Dambulla,Banana,62.85,19.3
1/26/2022,Dambulla,Pineapple,97.43,3.9
1/26/2022,Pettah,TJC mango,128.74,9.3
1/26/2022,Pettah,Banana,61.21,22.9
1/26/2022,Pettah,Pineapple,75.67,6.9
1/26/2022,Meegoda,TJC mango,122.11,8.2
1/26/2022,Meegoda,Banana,76.17,24.1
1/26/2022,Meegoda,Pineapple,91.76,3.4
1/26/2022,Narahenpita,TJC mango,131.95,8.4
1/26/2022,Narahenpita,Banana,54.9,24.5
1/26/2022,Narahenpita,Pineapple,76.17,2.5
1/26/2022,Embilipitiya,TJC mango,107.57,7.5
1/26/2022,Embilipitiya,Banana,73.12,20.5
1/26/2022,Embilipitiya,Pineapple,77.4,4.7
1/27/2022,Dambulla,TJC mango,123,8.6
1/27/2022,Dambulla,Banana,58.14,18
1/27/2022,Dambulla,Pineapple,97.53,3.4
1/27/2022,Pettah,TJC mango,139.81,8.2
1/27/2022,Pettah,Banana,56.25,12.4
1/27/2022,Pettah,Pineapple,83.87,2.7
1/27/2022,Meegoda,TJC mango,119.58,8.1
1/27/2022,Meegoda,Banana,62.44,15.2
1/27/2022,Meegoda,Pineapple,66.65,4.2
1/27/2022,Narahenpita,TJC mango,133.85,8.1
1/27/2022,Narahenpita,Banana,66.08,23.4
1/27/2022,Narahenpita,Pineapple,74.24,4.2
1/27/2022,Embilipitiya,TJC mango,102.38,7.5
1/27/2022,Embilipitiya,Banana,62.32,23.7
1/27/2022,Embilipitiya,Pineapple,68.05,5
1/28/2022,Dambulla,TJC mango,132.66,8.8
1/28/2022,Dambulla,Banana,66.18,22.3
1/28/2022,Dambulla,Pineapple,78.43,2.4
1/28/2022,Pettah,TJC mango,138.12,5.2
1/28/2022,Pettah,Banana,69.85,12.5
1/28/2022,Pettah,Pineapple,84.84,5.6
1/28/2022,Meegoda,TJC mango,146.38,7.8
1/28/2022,Meegoda,Banana,56.53,16.1
1/28/2022,Meegoda,Pineapple,80.48,4.7
1/28/2022,Narahenpita,TJC mango,94.65,10.7
1/28/2022,Narahenpita,Banana,54.31,19
1/28/2022,Narahenpita,Pineapple,75.82,4.8
1/28/2022,Embilipitiya,TJC mango,127.71,4.2
1/28/2022,Embilipitiya,Banana,60.89,23.4
1/28/2022,Embilipitiya,Pineapple,80.12,3.8
1/29/2022,Dambulla,TJC mango,108.06,3.9
1/29/2022,Dambulla,Banana,50.2,21.6
1/29/2022,Dambulla,Pineapple,78.71,5
1/29/2022,Pettah,TJC mango,125.73,8.4
1/29/2022,Pettah,Banana,56.15,11.9
1/29/2022,Pettah,Pineapple,92.18,4.1
1/29/2022,Meegoda,TJC mango,139.54,5.2
1/29/2022,Meegoda,Banana,48.19,16.2
1/29/2022,Meegoda,Pineapple,69.16,6
1/29/2022,Narahenpita,TJC mango,86.11,8.5
1/29/2022,Narahenpita,Banana,46.92,14.2
1/29/2022,Narahenpita,Pineapple,79.77,5.2
1/29/2022,Embilipitiya,TJC mango,126.78,8.8
1/29/2022,Embilipitiya,Banana,70.14,19.6
1/29/2022,Embilipitiya,Pineapple,79.23,3.4
1/30/2022,Dambulla,TJC mango,152.09,10.7
1/30/2022,Dambulla,Banana,65.44,7.9
1/30/2022,Dambulla,Pineapple,84.62,3.4
1/30/2022,Pettah,TJC mango,109.59,7.3
1/30/2022,Pettah,Banana,49.15,14.3
1/30/2022,Pettah,Pineapple,87.89,4.2
1/30/2022,Meegoda,TJC mango,139.57,8.3
1/30/2022,Meegoda,Banana,60.98,9.8
1/30/2022,Meegoda,Pineapple,,
1/30/2022,Narahenpita,TJC mango,133.14,6.3
1/30/2022,Narahenpita,Banana,57.68,16.7
1/30/2022,Narahenpita,Pineapple,73.29,4.2
1/30/2022,Embilipitiya,TJC mango,117.27,3.7
1/30/2022,Embilipitiya,Banana,65.31,25.1
1/30/2022,Embilipitiya,Pineapple,,
1/31/2022,Dambulla,TJC mango,129.7,8.7
1/31/2022,Dambulla,Banana,64.78,23.8
1/31/2022,Dambulla,Pineapple,82.49,5.7
1/31/2022,Pettah,TJC mango,115.86,7.9
1/31/2022,Pettah,Banana,55.91,26.1
1/31/2022,Pettah,Pineapple,93.06,4.5
1/31/2022,Meegoda,TJC mango,97.4,8.3
1/31/2022,Meegoda,Banana,53.64,31.9
1/31/2022,Meegoda,Pineapple,85.01,2.8
1/31/2022,Narahenpita,TJC mango,114.67,6.4
1/31/2022,Narahenpita,Banana,54.51,17.4
1/31/2022,Narahenpita,Pineapple,88.79,3.6
1/31/2022,Embilipitiya,TJC mango,135.06,9.7
1/31/2022,Embilipitiya,Banana,59.52,6.4
1/31/2022,Embilipitiya,Pineapple,55.24,3.2
2/1/2022,Dambulla,TJC mango,128.01,8.7
2/1/2022,Dambulla,Banana,60.12,19.5
2/1/2022,Dambulla,Pineapple,83.71,4.6
2/1/2022,Pettah,TJC mango,99.36,7.5
2/1/2022,Pettah,Banana,65.32,14.4
2/1/2022,Pettah,Pineapple,85.19,2.3
2/1/2022,Meegoda,TJC mango,96.06,5.9
2/1/2022,Meegoda,Banana,57.72,17.1
2/1/2022,Meegoda,Pineapple,72.55,4.8
2/1/2022,Narahenpita,TJC mango,120.09,8.7
2/1/2022,Narahenpita,Banana,50.06,14.8
2/1/2022,Narahenpita,Pineapple,87.54,3.6
2/1/2022,Embilipitiya,TJC mango,154.63,7.7
2/1/2022,Embilipitiya,Banana,76.97,16.5
2/1/2022,Embilipitiya,Pineapple,82,3.6
2/2/2022,Dambulla,TJC mango,130.98,5.9
2/2/2022,Dambulla,Banana,55.9,26.2
2/2/2022,Dambulla,Pineapple,86.23,5.2
2/2/2022,Pettah,TJC mango,132.18,9.5
2/2/2022,Pettah,Banana,70.7,23.9
2/2/2022,Pettah,Pineapple,82,4.8
2/2/2022,Meegoda,TJC mango,126.97,11.4
2/2/2022,Meegoda,Banana,53.21,20.3
2/2/2022,Meegoda,Pineapple,79.64,2.9
2/2/2022,Narahenpita,TJC mango,128.15,4.5
2/2/2022,Narahenpita,Banana,67.83,19.9
2/2/2022,Narahenpita,Pineapple,77.43,5.8
2/2/2022,Embilipitiya,TJC mango,134.82,7.1
2/2/2022,Embilipitiya,Banana,51.19,18.8
2/2/2022,Embilipitiya,Pineapple,56.54,3.3
2/3/2022,Dambulla,TJC mango,113.35,11.5
2/3/2022,Dambulla,Banana,42.96,11.1
2/3/2022,Dambulla,Pineapple,89.72,3.3
2/3/2022,Pettah,TJC mango,84.79,10.7
2/3/2022,Pettah,Banana,62.88,27.4
2/3/2022,Pettah,Pineapple,89.88,5.1
2/3/2022,Meegoda,TJC mango,119.65,9.9
2/3/2022,Meegoda,Banana,65.15,19.3
2/3/2022,Meegoda,Pineapple,71.75,3.5
2/3/2022,Narahenpita,TJC mango,118.76,7.3
2/3/2022,Narahenpita,Banana,42.63,13.6
2/3/2022,Narahenpita,Pineapple,82.67,4
2/3/2022,Embilipitiya,TJC mango,125.93,7.9
2/3/2022,Embilipitiya,Banana,49.48,15
2/3/2022,Embilipitiya,Pineapple,76.8,5.2
2/4/2022,Dambulla,TJC mango,116.14,5.8
2/4/2022,Dambulla,Banana,60.96,17.8
2/4/2022,Dambulla,Pineapple,81.79,3.7
2/4/2022,Pettah,TJC mango,110.04,8.3
2/4/2022,Pettah,Banana,49.03,17.1
2/4/2022,Pettah,Pineapple,79.86,6.7
2/4/2022,Meegoda,TJC mango,105.31,5.8
2/4/2022,Meegoda,Banana,63.56,25.2
2/4/2022,Meegoda,Pineapple,81.52,3.8
2/4/2022,Narahenpita,TJC mango,145.8,9.8
2/4/2022,Narahenpita,Banana,52.92,19.8
2/4/2022,Narahenpita,Pineapple,,
2/4/2022,Embilipitiya,TJC mango,122.01,7.7
2/4/2022,Embilipitiya,Banana,64.55,22
2/4/2022,Embilipitiya,Pineapple,84.95,4.3
2/5/2022,Dambulla,TJC mango,89.83,5.8
