Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
2023-01-08,Pettah,Banana,67.75,20.2
2023-01-08,Pettah,Pineapple,88.19,4.2
2023-01-08,Meegoda,TJC mango,127.59,8.1
2023-01-08,Meegoda,Banana,60.91,9.4
2023-01-08,Meegoda,Pineapple,73.79,1.7
2023-01-08,Narahenpita,TJC mango,111.63,7.1
2023-01-08,Narahenpita,Banana,72.67,17.0
2023-01-08,Narahenpita,Pineapple,75.8,3.2
2023-01-08,Embilipitiya,TJC mango,151.94,11.8
2023-01-08,Embilipitiya,Banana,64.38,26.2
2023-01-08,Embilipitiya,Pineapple,72.66,4.9
2023-01-09,Dambulla,TJC mango,114.88,6.8
2023-01-09,Dambulla,Banana,59.54,21.5
2023-01-09,Dambulla,Pineapple,85.26,4.7
2023-01-09,Pettah,TJC mango,122.57,5.2
2023-01-09,Pettah,Banana,53.52,31.5
2023-01-09,Pettah,Pineapple,75.89,4.1
2023-01-09,Meegoda,TJC mango,105.84,9.5
2023-01-09,Meegoda,Banana,62.23,9.2
2023-01-09,Meegoda,Pineapple,87.42,2.1
2023-01-09,Narahenpita,TJC mango,113.55,7.1
2023-01-09,Narahenpita,Banana,51.05,20.0
2023-01-09,Narahenpita,Pineapple,64.95,2.5
2023-01-09,Embilipitiya,TJC mango,132.14,5.6
2023-01-09,Embilipitiya,Banana,35.34,23.6
2023-01-09,Embilipitiya,Pineapple,63.9,2.6
2023-01-10,Dambulla,TJC mango,140.71,6.6
2023-01-10,Dambulla,Banana,50.49,18.1
2023-01-10,Dambulla,Pineapple,73.15,3.9
2023-01-10,Pettah,TJC mango,102.28,12.1
2023-01-10,Pettah,Banana,56.65,16.9
2023-01-10,Pettah,Pineapple,84.07,4.5
2023-01-10,Meegoda,TJC mango,145.2,6.0
2023-01-10,Meegoda,Banana,59.95,5.8
2023-01-10,Meegoda,Pineapple,77.15,2.2
2023-01-10,Narahenpita,TJC mango,143.57,9.5
2023-01-10,Narahenpita,Banana,59.75,19.0
2023-01-10,Narahenpita,Pineapple,92.58,3.4
2023-01-10,Embilipitiya,TJC mango,124.55,5.7
2023-01-10,Embilipitiya,Banana,58.86,25.1
2023-01-10,Embilipitiya,Pineapple,68.97,2.6
2023-01-11,Dambulla,TJC mango,121.32,6.4
2023-01-11,Dambulla,Banana,49.86,29.2
2023-01-11,Dambulla,Pineapple,86.59,5.4
2023-01-11,Pettah,TJC mango,102.74,7.4
2023-01-11,Pettah,Banana,57.68,14.1
2023-01-11,Pettah,Pineapple,84.6,4.3
2023-01-11,Meegoda,TJC mango,92.71,7.3
2023-01-11,Meegoda,Banana,54.63,20.2
2023-01-11,Meegoda,Pineapple,73.09,2.7
2023-01-11,Narahenpita,TJC mango,111.64,10.8
2023-01-11,Narahenpita,Banana,71.97,15.5
2023-01-11,Narahenpita,Pineapple,72.53,5.1
2023-01-11,Embilipitiya,TJC mango,118.09,9.0
2023-01-11,Embilipitiya,Banana,66.66,20.6
2023-01-11,Embilipitiya,Pineapple,86.4,4.0
2023-01-12,Dambulla,TJC mango,89.73,7.5
2023-01-12,Dambulla,Banana,64.73,14.5
2023-01-12,Dambulla,Pineapple,77.99,3.8
2023-01-12,Pettah,TJC mango,102.27,8.5
2023-01-12,Pettah,Banana,65.15,24.0
2023-01-12,Pettah,Pineapple,81.66,4.3
2023-01-12,Meegoda,TJC mango,108.97,6.9
2023-01-12,Meegoda,Banana,68.77,19.2
2023-01-12,Meegoda,Pineapple,68.81,6.0
2023-01-12,Narahenpita,TJC mango,102.57,10.8
2023-01-12,Narahenpita,Banana,58.6,15.0
2023-01-12,Narahenpita,Pineapple,85.54,5.5
2023-01-12,Embilipitiya,TJC mango,93.72,12.2
2023-01-12,Embilipitiya,Banana,76.25,13.6
2023-01-12,Embilipitiya,Pineapple,93.61,3.3
2023-01-13,Dambulla,TJC mango,89.76,5.4
2023-01-13,Dambulla,Banana,67.97,10.9
2023-01-13,Dambulla,Pineapple,66.01,4.3
2023-01-13,Pettah,TJC mango,,
2023-01-13,Pettah,Banana,63.15,22.7
2023-01-13,Pettah,Pineapple,82.23,4.5
2023-01-13,Meegoda,TJC mango,121.1,7.4
2023-01-13,Meegoda,Banana,54.7,21.6
2023-01-13,Meegoda,Pineapple,77.72,2.1
2023-01-13,Narahenpita,TJC mango,99.93,11.6
2023-01-13,Narahenpita,Banana,63.95,12.3
2023-01-13,Narahenpita,Pineapple,67.29,3.5
2023-01-13,Embilipitiya,TJC mango,122.52,9.3
2023-01-13,Embilipitiya,Banana,57.13,17.9
2023-01-13,Embilipitiya,Pineapple,85.63,3.5
2023-01-14,Dambulla,TJC mango,144.89,5.1
2023-01-14,Dambulla,Banana,74.78,19.1
2023-01-14,Dambulla,Pineapple,85.47,4.7
2023-01-14,Pettah,TJC mango,138.56,9.5
2023-01-14,Pettah,Banana,60.92,12.5
2023-01-14,Pettah,Pineapple,82.26,3.7
2023-01-14,Meegoda,TJC mango,142.65,6.0
2023-01-14,Meegoda,Banana,59.82,20.4
2023-01-14,Meegoda,Pineapple,95.15,4.8
2023-01-14,Narahenpita,TJC mango,124.77,8.9
2023-01-14,Narahenpita,Banana,49.75,19.0
2023-01-14,Narahenpita,Pineapple,82.99,5.6
2023-01-14,Embilipitiya,TJC mango,124.8,5.0
2023-01-14,Embilipitiya,Banana,59.23,28.8
2023-01-14,Embilipitiya,Pineapple,,
2023-01-15,Dambulla,TJC mango,108.12,7.6
2023-01-15,Dambulla,Banana,60.34,25.6
2023-01-15,Dambulla,Pineapple,81.21,4.7
2023-01-15,Pettah,TJC mango,126.72,4.6
2023-01-15,Pettah,Banana,61.94,14.7
2023-01-15,Pettah,Pineapple,76.86,3.6
2023-01-15,Meegoda,TJC mango,128.28,5.0
2023-01-15,Meegoda,Banana,69.85,20.7
2023-01-15,Meegoda,Pineapple,79.33,3.4
2023-01-15,Narahenpita,TJC mango,148.14,10.7
2023-01-15,Narahenpita,Banana,68.11,23.8
2023-01-15,Narahenpita,Pineapple,68.16,0.8
2023-01-15,Embilipitiya,TJC mango,105.28,10.6
2023-01-15,Embilipitiya,Banana,61.62,14.5
2023-01-15,Embilipitiya,Pineapple,62.43,4.8
2023-01-16,Dambulla,TJC mango,93.37,9.4
2023-01-16,Dambulla,Banana,67.72,22.7
2023-01-16,Dambulla,Pineapple,78.66,4.7
2023-01-16,Pettah,TJC mango,112.74,11.9
2023-01-16,Pettah,Banana,65.32,8.5
2023-01-16,Pettah,Pineapple,89.18,3.9
2023-01-16,Meegoda,TJC mango,156.96,8.7
2023-01-16,Meegoda,Banana,40.63,8.7
2023-01-16,Meegoda,Pineapple,90.49,3.9
2023-01-16,Narahenpita,TJC mango,132.96,7.0
2023-01-16,Narahenpita,Banana,49.38,17.3
2023-01-16,Narahenpita,Pineapple,66.38,6.7
2023-01-16,Embilipitiya,TJC mango,109.81,10.1
2023-01-16,Embilipitiya,Banana,64.57,22.4
2023-01-16,Embilipitiya,Pineapple,,
2023-01-17,Dambulla,TJC mango,113.87,9.2
2023-01-17,Dambulla,Banana,59.78,14.9
2023-01-17,Dambulla,Pineapple,77.62,4.7
2023-01-17,Pettah,TJC mango,117.46,6.4
2023-01-17,Pettah,Banana,47.57,17.4
2023-01-17,Pettah,Pineapple,99.68,3.7
2023-01-17,Meegoda,TJC mango,145.5,7.2
2023-01-17,Meegoda,Banana,55.08,23.9
2023-01-17,Meegoda,Pineapple,83.35,2.6
2023-01-17,Narahenpita,TJC mango,122.8,6.3
2023-01-17,Narahenpita,Banana,52.06,17.4
2023-01-17,Narahenpita,Pineapple,83.14,4.0
2023-01-17,Embilipitiya,TJC mango,155.02,9.7
2023-01-17,Embilipitiya,Banana,56.03,19.8
2023-01-17,Embilipitiya,Pineapple,96.55,4.8
2023-01-18,Dambulla,TJC mango,108.27,8.0
2023-01-18,Dambulla,Banana,50.3,17.8
2023-01-18,Dambulla,Pineapple,85.23,3.0
2023-01-18,Pettah,TJC mango,124.12,8.2
2023-01-18,Pettah,Banana,53.16,14.9
2023-01-18,Pettah,Pineapple,81.0,3.7
2023-01-18,Meegoda,TJC mango,109.11,6.3
2023-01-18,Meegoda,Banana,63.02,26.8
2023-01-18,Meegoda,Pineapple,57.33,4.5
2023-01-18,Narahenpita,TJC mango,116.49,8.3
2023-01-18,Narahenpita,Banana,70.67,22.7
2023-01-18,Narahenpita,Pineapple,74.92,3.6
2023-01-18,Embilipitiya,TJC mango,131.81,8.1
2023-01-18,Embilipitiya,Banana,57.63,25.4
2023-01-18,Embilipitiya,Pineapple,78.16,4.9
2023-01-19,Dambulla,TJC mango,110.94,5.3
2023-01-19,Dambulla,Banana,69.57,16.4
2023-01-19,Dambulla,Pineapple,79.69,4.9
2023-01-19,Pettah,TJC mango,115.9,9.8
2023-01-19,Pettah,Banana,48.31,15.3
2023-01-19,Pettah,Pineapple,80.02,3.9
2023-01-19,Meegoda,TJC mango,106.05,7.5
2023-01-19,Meegoda,Banana,47.83,14.4
2023-01-19,Meegoda,Pineapple,67.66,3.7
2023-01-19,Narahenpita,TJC mango,103.21,7.6
2023-01-19,Narahenpita,Banana,73.74,24.9
2023-01-19,Narahenpita,Pineapple,77.25,3.8
2023-01-19,Embilipitiya,TJC mango,111.13,8.8
2023-01-19,Embilipitiya,Banana,61.85,12.2
2023-01-19,Embilipitiya,Pineapple,85.53,4.6
2023-01-20,Dambulla,TJC mango,108.08,7.8
2023-01-20,Dambulla,Banana,54.95,19.0
2023-01-20,Dambulla,Pineapple,64.13,3.1
2023-01-20,Pettah,TJC mango,124.53,7.8
2023-01-20,Pettah,Banana,58.47,21.5
2023-01-20,Pettah,Pineapple,76.55,3.9
2023-01-20,Meegoda,TJC mango,148.79,8.8
2023-01-20,Meegoda,Banana,49.92,19.0
2023-01-20,Meegoda,Pineapple,74.96,3.9
2023-01-20,Narahenpita,TJC mango,152.32,4.1
2023-01-20,Narahenpita,Banana,55.41,16.5
2023-01-20,Narahenpita,Pineapple,71.37,3.8
2023-01-20,Embilipitiya,TJC mango,91.39,7.0
2023-01-20,Embilipitiya,Banana,49.51,15.9
2023-01-20,Embilipitiya,Pineapple,91.27,3.6
2023-01-21,Dambulla,TJC mango,117.14,7.3
2023-01-21,Dambulla,Banana,64.54,13.8
2023-01-21,Dambulla,Pineapple,76.8,3.0
2023-01-21,Pettah,TJC mango,106.49,10.4
2023-01-21,Pettah,Banana,52.32,13.0
2023-01-21,Pettah,Pineapple,78.0,4.3
2023-01-21,Meegoda,TJC mango,134.12,6.7
2023-01-21,Meegoda,Banana,49.42,14.5
2023-01-21,Meegoda,Pineapple,69.91,4.2
2023-01-21,Narahenpita,TJC mango,120.79,7.1
2023-01-21,Narahenpita,Banana,57.14,11.5
2023-01-21,Narahenpita,Pineapple,68.53,3.6
2023-01-21,Embilipitiya,TJC mango,131.91,8.7
2023-01-21,Embilipitiya,Banana,75.43,16.7
2023-01-21,Embilipitiya,Pineapple,92.34,2.5
2023-01-22,Dambulla,TJC mango,102.38,9.2
2023-01-22,Dambulla,Banana,51.71,20.2
2023-01-22,Dambulla,Pineapple,82.75,3.7
2023-01-22,Pettah,TJC mango,128.98,7.3
2023-01-22,Pettah,Banana,60.19,8.0
2023-01-22,Pettah,Pineapple,64.9,5.8
2023-01-22,Meegoda,TJC mango,119.63,7.0
2023-01-22,Meegoda,Banana,70.2,14.4
2023-01-22,Meegoda,Pineapple,80.02,4.6
2023-01-22,Narahenpita,TJC mango,99.77,8.9
2023-01-22,Narahenpita,Banana,67.29,14.4
2023-01-22,Narahenpita,Pineapple,85.39,3.8
2023-01-22,Embilipitiya,TJC mango,133.37,6.4
2023-01-22,Embilipitiya,Banana,56.43,19.5
2023-01-22,Embilipitiya,Pineapple,78.87,5.3
2023-01-23,Dambulla,TJC mango,148.53,5.5
2023-01-23,Dambulla,Banana,71.83,21.6
2023-01-23,Dambulla,Pineapple,68.68,2.8
2023-01-23,Pettah,TJC mango,127.25,5.3
2023-01-23,Pettah,Banana,53.79,23.5
2023-01-23,Pettah,Pineapple,95.59,3.6
2023-01-23,Meegoda,TJC mango,132.77,8.3
2023-01-23,Meegoda,Banana,54.89,15.5
2023-01-23,Meegoda,Pineapple,64.61,2.4
2023-01-23,Narahenpita,TJC mango,104.86,9.5
2023-01-23,Narahenpita,Banana,61.8,15.1
2023-01-23,Narahenpita,Pineapple,66.2,4.2
2023-01-23,Embilipitiya,TJC mango,84.58,9.3
2023-01-23,Embilipitiya,Banana,53.47,9.3
2023-01-23,Embilipitiya,Pineapple,86.29,4.0
2023-01-24,Dambulla,TJC mango,156.19,8.6
2023-01-24,Dambulla,Banana,72.93,17.9
2023-01-24,Dambulla,Pineapple,69.31,2.4
2023-01-24,Pettah,TJC mango,131.95,9.2
2023-01-24,Pettah,Banana,61.16,19.6
2023-01-24,Pettah,Pineapple,92.48,3.2
2023-01-24,Meegoda,TJC mango,129.64,8.0
2023-01-24,Meegoda,Banana,64.61,11.5
2023-01-24,Meegoda,Pineapple,62.84,4.7
2023-01-24,Narahenpita,TJC mango,121.95,10.4
2023-01-24,Narahenpita,Banana,75.17,19.7
2023-01-24,Narahenpita,Pineapple,80.28,4.2
2023-01-24,Embilipitiya,TJC mango,105.03,4.7
2023-01-24,Embilipitiya,Banana,60.35,17.7
2023-01-24,Embilipitiya,Pineapple,79.94,5.6
2023-01-25,Dambulla,TJC mango,,
2023-01-25,Dambulla,Banana,44.74,21.0
2023-01-25,Dambulla,Pineapple,62.26,5.6
2023-01-25,Pettah,TJC mango,146.3,5.8
2023-01-25,Pettah,Banana,63.99,20.9
2023-01-25,Pettah,Pineapple,75.76,3.5
2023-01-25,Meegoda,TJC mango,119.44,13.7
2023-01-25,Meegoda,Banana,63.18,4.0
2023-01-25,Meegoda,Pineapple,75.9,3.9
2023-01-25,Narahenpita,TJC mango,110.67,11.4
2023-01-25,Narahenpita,Banana,50.25,23.8
2023-01-25,Narahenpita,Pineapple,81.27,4.8
2023-01-25,Embilipitiya,TJC mango,117.85,5.1
2023-01-25,Embilipitiya,Banana,68.58,18.8
2023-01-25,Embilipitiya,Pineapple,83.28,1.5
2023-01-26,Dambulla,TJC mango,138.98,4.7
2023-01-26,Dambulla,Banana,53.23,15.6
2023-01-26,Dambulla,Pineapple,82.45,3.0
2023-01-26,Pettah,TJC mango,122.69,10.9
2023-01-26,Pettah,Banana,67.84,12.7
2023-01-26,Pettah,Pineapple,94.34,2.7
2023-01-26,Meegoda,TJC mango,113.85,9.9
2023-01-26,Meegoda,Banana,60.74,15.7
2023-01-26,Meegoda,Pineapple,64.22,3.4
2023-01-26,Narahenpita,TJC mango,91.46,4.6
2023-01-26,Narahenpita,Banana,68.02,22.9
2023-01-26,Narahenpita,Pineapple,88.19,3.4
2023-01-26,Embilipitiya,TJC mango,135.28,9.3
2023-01-26,Embilipitiya,Banana,69.98,19.0
2023-01-26,Embilipitiya,Pineapple,87.94,4.2
2023-01-27,Dambulla,TJC mango,84.71,8.4
2023-01-27,Dambulla,Banana,57.7,13.6
2023-01-27,Dambulla,Pineapple,96.6,4.1
2023-01-27,Pettah,TJC mango,88.61,6.6
2023-01-27,Pettah,Banana,66.68,14.9
2023-01-27,Pettah,Pineapple,64.01,5.6
2023-01-27,Meegoda,TJC mango,113.2,6.8
2023-01-27,Meegoda,Banana,52.35,16.8
2023-01-27,Meegoda,Pineapple,84.85,2.9
2023-01-27,Narahenpita,TJC mango,93.99,12.0
2023-01-27,Narahenpita,Banana,72.79,19.2
2023-01-27,Narahenpita,Pineapple,71.17,3.3
2023-01-27,Embilipitiya,TJC mango,,
2023-01-27,Embilipitiya,Banana,64.72,25.0
2023-01-27,Embilipitiya,Pineapple,81.06,4.0
2023-01-28,Dambulla,TJC mango,140.16,6.0
2023-01-28,Dambulla,Banana,45.97,11.8
2023-01-28,Dambulla,Pineapple,67.62,3.3
2023-01-28,Pettah,TJC mango,122.91,11.5
2023-01-28,Pettah,Banana,50.19,16.3
2023-01-28,Pettah,Pineapple,94.15,2.8
2023-01-28,Meegoda,TJC mango,101.87,6.6
2023-01-28,Meegoda,Banana,68.89,8.3
2023-01-28,Meegoda,Pineapple,78.1,3.7
2023-01-28,Narahenpita,TJC mango,116.29,10.9
2023-01-28,Narahenpita,Banana,57.03,16.1
2023-01-28,Narahenpita,Pineapple,86.7,3.8
2023-01-28,Embilipitiya,TJC mango,110.41,9.4
2023-01-28,Embilipitiya,Banana,64.01,20.6
2023-01-28,Embilipitiya,Pineapple,86.73,5.3
2023-01-29,Dambulla,TJC mango,89.34,7.9
2023-01-29,Dambulla,Banana,77.24,24.6
2023-01-29,Dambulla,Pineapple,92.1,6.8
2023-01-29,Pettah,TJC mango,90.63,10.4
2023-01-29,Pettah,Banana,47.37,12.9
2023-01-29,Pettah,Pineapple,76.7,5.4
2023-01-29,Meegoda,TJC mango,115.15,9.5
2023-01-29,Meegoda,Banana,62.23,6.3
2023-01-29,Meegoda,Pineapple,86.07,5.7
2023-01-29,Narahenpita,TJC mango,94.66,9.9
2023-01-29,Narahenpita,Banana,51.94,22.3
2023-01-29,Narahenpita,Pineapple,80.55,3.8
2023-01-29,Embilipitiya,TJC mango,114.04,4.4
2023-01-29,Embilipitiya,Banana,54.42,12.6
2023-01-29,Embilipitiya,Pineapple,88.31,4.0
2023-01-30,Dambulla,TJC mango,137.01,8.9
2023-01-30,Dambulla,Banana,48.98,11.8
2023-01-30,Dambulla,Pineapple,68.15,2.8
2023-01-30,Pettah,TJC mango,105.4,5.8
2023-01-30,Pettah,Banana,58.31,6.6
2023-01-30,Pettah,Pineapple,86.06,3.3
2023-01-30,Meegoda,TJC mango,132.47,8.8
2023-01-30,Meegoda,Banana,56.32,17.3
2023-01-30,Meegoda,Pineapple,72.53,3.4
2023-01-30,Narahenpita,TJC mango,100.17,9.9
2023-01-30,Narahenpita,Banana,63.04,9.5
2023-01-30,Narahenpita,Pineapple,76.09,3.7
2023-01-30,Embilipitiya,TJC mango,139.35,8.5
2023-01-30,Embilipitiya,Banana,49.21,24.7
2023-01-30,Embilipitiya,Pineapple,73.13,4.0
2023-01-31,Dambulla,TJC mango,119.74,7.7
2023-01-31,Dambulla,Banana,53.5,17.7
2023-01-31,Dambulla,Pineapple,74.0,3.5
2023-01-31,Pettah,TJC mango,113.46,9.9
2023-01-31,Pettah,Banana,60.08,19.6
2023-01-31,Pettah,Pineapple,60.51,5.4
2023-01-31,Meegoda,TJC mango,119.06,6.9
2023-01-31,Meegoda,Banana,57.45,18.4
2023-01-31,Meegoda,Pineapple,70.78,2.7
2023-01-31,Narahenpita,TJC mango,143.38,6.4
2023-01-31,Narahenpita,Banana,68.11,20.8
2023-01-31,Narahenpita,Pineapple,76.89,2.8
2023-01-31,Embilipitiya,TJC mango,127.12,7.9
2023-01-31,Embilipitiya,Banana,44.46,16.2
2023-01-31,Embilipitiya,Pineapple,74.38,3.9
2023-02-01,Dambulla,TJC mango,135.89,8.2
2023-02-01,Dambulla,Banana,56.28,16.7
2023-02-01,Dambulla,Pineapple,74.58,3.0
2023-02-01,Pettah,TJC mango,141.63,8.9
2023-02-01,Pettah,Banana,55.86,18.5
2023-02-01,Pettah,Pineapple,83.06,3.9
2023-02-01,Meegoda,TJC mango,143.75,9.2
2023-02-01,Meegoda,Banana,,
2023-02-01,Meegoda,Pineapple,76.47,4.6
2023-02-01,Narahenpita,TJC mango,110.58,4.4
2023-02-01,Narahenpita,Banana,56.48,17.2
2023-02-01,Narahenpita,Pineapple,66.87,3.7
2023-02-01,Embilipitiya,TJC mango,104.45,6.8
2023-02-01,Embilipitiya,Banana,62.24,17.7
2023-02-01,Embilipitiya,Pineapple,94.8,4.8
2023-02-02,Dambulla,TJC mango,114.13,7.7
2023-02-02,Dambulla,Banana,58.8,17.0
2023-02-02,Dambulla,Pineapple,94.15,5.7
2023-02-02,Pettah,TJC mango,128.09,6.4
2023-02-02,Pettah,Banana,54.91,19.9
2023-02-02,Pettah,Pineapple,68.04,3.8
2023-02-02,Meegoda,TJC mango,99.33,7.2
2023-02-02,Meegoda,Banana,58.65,11.2
2023-02-02,Meegoda,Pineapple,75.99,3.9
2023-02-02,Narahenpita,TJC mango,111.37,9.1
2023-02-02,Narahenpita,Banana,72.78,16.2
2023-02-02,Narahenpita,Pineapple,75.89,4.5
2023-02-02,Embilipitiya,TJC mango,118.65,5.3
2023-02-02,Embilipitiya,Banana,62.43,20.6
2023-02-02,Embilipitiya,Pineapple,100.76,4.2
2023-02-03,Dambulla,TJC mango,105.74,8.9
2023-02-03,Dambulla,Banana,62.28,17.4
2023-02-03,Dambulla,Pineapple,124.09,4.9
2023-02-03,Pettah,TJC mango,120.97,5.6
2023-02-03,Pettah,Banana,65.48,14.6
2023-02-03,Pettah,Pineapple,71.98,3.4
2023-02-03,Meegoda,TJC mango,135.43,7.5
2023-02-03,Meegoda,Banana,46.58,12.1
2023-02-03,Meegoda,Pineapple,65.46,4.4
2023-02-03,Narahenpita,TJC mango,121.43,7.9
2023-02-03,Narahenpita,Banana,63.67,26.1
2023-02-03,Narahenpita,Pineapple,65.03,3.2
2023-02-03,Embilipitiya,TJC mango,142.32,5.8
2023-02-03,Embilipitiya,Banana,74.19,14.5
2023-02-03,Embilipitiya,Pineapple,87.29,3.4
2023-02-04,Dambulla,TJC mango,125.66,6.7
2023-02-04,Dambulla,Banana,57.45,20.0
2023-02-04,Dambulla,Pineapple,83.95,3.4
2023-02-04,Pettah,TJC mango,109.36,7.6
2023-02-04,Pettah,Banana,54.52,8.7
2023-02-04,Pettah,Pineapple,92.32,4.2
2023-02-04,Meegoda,TJC mango,118.01,8.8
2023-02-04,Meegoda,Banana,,
2023-02-04,Meegoda,Pineapple,79.71,2.6
2023-02-04,Narahenpita,TJC mango,114.07,8.8
2023-02-04,Narahenpita,Banana,61.39,18.1
2023-02-04,Narahenpita,Pineapple,79.45,4.1
